,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
20330,STATE - ARUNACHAL PRADESH,"Crop and animal production, hunting and related service activities",12967,8180,4787,10821,6770,4051,2146,1410,736,2975,1211,1764,2545,1004,1541,430,207,223,15942,1.7087946521829955,14.750429,78.570026
20331,STATE - ARUNACHAL PRADESH,Growing of non-perennial crops,2373,1352,1021,1482,824,658,891,528,363,1164,563,601,906,441,465,258,122,136,3537,1.3241919686581782,27.100399,93.616601
20332,STATE - ARUNACHAL PRADESH,"Growing of cereals (except rice), leguminous crops and oil seeds",171,98,73,131,81,50,40,17,23,33,16,17,30,14,16,3,2,1,204,1.3424657534246576,26.749981,94.216667
20333,STATE - ARUNACHAL PRADESH,Growing of rice,1944,1106,838,1207,656,551,737,450,287,1005,480,525,780,375,405,225,105,120,2949,1.3198090692124105,25.785414,87.479973
20334,STATE - ARUNACHAL PRADESH,"Growing of vegetables and melons, roots and tubers",245,135,110,135,78,57,110,57,53,117,61,56,87,46,41,30,15,15,362,1.2272727272727273,30.719997,76.780006
20335,STATE - ARUNACHAL PRADESH,Growing of sugar cane,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,22.09042,82.159987
20336,STATE - ARUNACHAL PRADESH,Growing of tobacco,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,2,0,20.266578,73.016618
20337,STATE - ARUNACHAL PRADESH,Growing of other non-perennial crop,13,13,0,9,9,0,4,4,0,6,6,0,6,6,0,0,0,0,19,13,28.669993,77.230004
20338,STATE - ARUNACHAL PRADESH,Growing of perennial crops,7422,4503,2919,7152,4299,2853,270,204,66,1042,261,781,1027,251,776,15,10,5,8464,1.5426515930113052,15.491997,73.818001
20339,STATE - ARUNACHAL PRADESH,Growing of tropical and subtropical fruits,58,41,17,45,29,16,13,12,1,7,7,0,7,7,0,0,0,0,65,2.411764705882353,28.450006,77.019991
20340,STATE - ARUNACHAL PRADESH,Growing of citrus fruits,54,42,12,43,34,9,11,8,3,34,15,19,33,14,19,1,1,0,88,3.5,31.100025,77.166597
20341,STATE - ARUNACHAL PRADESH,Growing of pome fruits and stone fruits,62,44,18,51,35,16,11,9,2,12,10,2,11,9,2,1,1,0,74,2.4444444444444446,34.299959,74.466658
20342,STATE - ARUNACHAL PRADESH,Growing of other tree and bush fruits and nuts,46,38,8,25,22,3,21,16,5,3,3,0,2,2,0,1,1,0,49,4.75,23.800393,86.419986
20343,STATE - ARUNACHAL PRADESH,Growing of oleaginous fruits,47,34,13,33,26,7,14,8,6,1,1,0,1,1,0,0,0,0,48,2.6153846153846154,12.570381,76.919997
20344,STATE - ARUNACHAL PRADESH,Growing of beverage crops,7073,4266,2807,6899,4130,2769,174,136,38,937,206,731,927,199,728,10,7,3,8010,1.5197719985749911,8.900373,76.569993
20345,STATE - ARUNACHAL PRADESH,"Growing of spices, aromatic, drug and pharmaceutical crops",17,8,9,2,1,1,15,7,8,38,12,26,36,12,24,2,0,2,55,0.8888888888888888,10.562573,72.636867
20346,STATE - ARUNACHAL PRADESH,Growing of other perennial crops,65,30,35,54,22,32,11,8,3,10,7,3,10,7,3,0,0,0,75,0.8571428571428571,21.300391,76.130019
