,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
48678,STATE - NCT OF DELHI,"Crop and animal production, hunting and related service activities",1484,1271,213,179,128,51,1305,1143,162,224,150,74,23,13,10,201,137,64,1708,5.967136150234742,14.750429,78.570026
48679,STATE - NCT OF DELHI,Growing of non-perennial crops,169,151,18,17,15,2,152,136,16,92,65,27,14,12,2,78,53,25,261,8.38888888888889,27.100399,93.616601
48680,STATE - NCT OF DELHI,"Growing of cereals (except rice), leguminous crops and oil seeds",83,81,2,9,7,2,74,74,0,37,27,10,8,6,2,29,21,8,120,40.5,26.749981,94.216667
48681,STATE - NCT OF DELHI,Growing of rice,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,25.785414,87.479973
48682,STATE - NCT OF DELHI,"Growing of vegetables and melons, roots and tubers",42,34,8,7,7,0,35,27,8,52,35,17,6,6,0,46,29,17,94,4.25,30.719997,76.780006
48683,STATE - NCT OF DELHI,Growing of fibre crops,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.09042,82.159987
48684,STATE - NCT OF DELHI,Growing of other non-perennial crop,29,21,8,1,1,0,28,20,8,3,3,0,0,0,0,3,3,0,32,2.625,20.266578,73.016618
48685,STATE - NCT OF DELHI,Growing of perennial crops,84,72,12,7,7,0,77,65,12,5,3,2,0,0,0,5,3,2,89,6,28.669993,77.230004
48686,STATE - NCT OF DELHI,Growing of beverage crops,49,49,0,1,1,0,48,48,0,3,3,0,0,0,0,3,3,0,52,49,15.491997,73.818001
48687,STATE - NCT OF DELHI,"Growing of spices, aromatic, drug and pharmaceutical crops",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,2,0,28.450006,77.019991
48688,STATE - NCT OF DELHI,Growing of other perennial crops,35,23,12,6,6,0,29,17,12,0,0,0,0,0,0,0,0,0,35,1.9166666666666667,31.100025,77.166597
48689,STATE - NCT OF DELHI,Plant propagation,250,241,9,22,22,0,228,219,9,9,5,4,0,0,0,9,5,4,259,26.77777777777778,34.299959,74.466658
48690,STATE - NCT OF DELHI,Plant propagation,250,241,9,22,22,0,228,219,9,9,5,4,0,0,0,9,5,4,259,26.77777777777778,23.800393,86.419986
48691,STATE - NCT OF DELHI,Animal production,498,374,124,98,50,48,400,324,76,50,27,23,8,0,8,42,27,15,548,3.0161290322580645,12.570381,76.919997
48692,STATE - NCT OF DELHI,Raising of cattle and buffaloes,249,148,101,52,10,42,197,138,59,29,15,14,8,0,8,21,15,6,278,1.465346534653465,8.900373,76.569993
48693,STATE - NCT OF DELHI,Raising of horses and other equines,66,66,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,66,66,10.562573,72.636867
48694,STATE - NCT OF DELHI,Raising of sheep and goats,63,52,11,32,26,6,31,26,5,12,6,6,0,0,0,12,6,6,75,4.727272727272728,21.300391,76.130019
48695,STATE - NCT OF DELHI,Raising of swine/pigs,21,21,0,0,0,0,21,21,0,3,3,0,0,0,0,3,3,0,24,21,19.250232,73.160175
48696,STATE - NCT OF DELHI,Raising of poultry,20,20,0,2,2,0,18,18,0,3,3,0,0,0,0,3,3,0,23,20,24.799971,93.950017
48697,STATE - NCT OF DELHI,Raising of other animals,79,67,12,12,12,0,67,55,12,3,0,3,0,0,0,3,0,3,82,5.583333333333333,25.570492,91.880014
48698,STATE - NCT OF DELHI,Mixed farming,19,14,5,0,0,0,19,14,5,0,0,0,0,0,0,0,0,0,19,2.8,23.710399,92.720015
48699,STATE - NCT OF DELHI,Mixed farming,19,14,5,0,0,0,19,14,5,0,0,0,0,0,0,0,0,0,19,2.8,25.666998,94.11657
