,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
94742,STATE - KARNATAKA,Growing of non-perennial crops,17862,10992,6870,12786,7631,5155,5076,3361,1715,11453,5409,6044,9980,4696,5284,1473,713,760,29315,1.6,27.100399,93.616601
94743,STATE - KARNATAKA,"Growing of cereals (except rice), leguminous crops and oil seeds",13755,8496,5259,9729,5827,3902,4026,2669,1357,8852,4188,4664,7872,3723,4149,980,465,515,22607,1.6155162578436966,26.749981,94.216667
94744,STATE - KARNATAKA,Growing of rice,2746,1693,1053,1961,1159,802,785,534,251,1905,877,1028,1558,694,864,347,183,164,4651,1.6077872744539412,25.785414,87.479973
94745,STATE - KARNATAKA,"Growing of vegetables and melons, roots and tubers",509,299,210,307,181,126,202,118,84,255,96,159,231,93,138,24,3,21,764,1.423809523809524,30.719997,76.780006
94746,STATE - KARNATAKA,Growing of sugar cane,710,455,255,672,429,243,38,26,12,336,212,124,217,153,64,119,59,60,1046,1.7843137254901962,22.09042,82.159987
94747,STATE - KARNATAKA,Growing of tobacco,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,0,20.266578,73.016618
94748,STATE - KARNATAKA,Growing of fibre crops,10,2,8,2,0,2,8,2,6,0,0,0,0,0,0,0,0,0,10,0.25,28.669993,77.230004
94749,STATE - KARNATAKA,Growing of other non-perennial crop,132,47,85,115,35,80,17,12,5,102,33,69,102,33,69,0,0,0,234,0.5529411764705883,15.491997,73.818001
94750,STATE - KARNATAKA,Growing of grapes,192,105,87,179,102,77,13,3,10,70,40,30,70,40,30,0,0,0,262,1.206896551724138,31.100025,77.166597
94751,STATE - KARNATAKA,Growing of tropical and subtropical fruits,71,45,26,65,39,26,6,6,0,36,12,24,36,12,24,0,0,0,107,1.7307692307692308,34.299959,74.466658
94752,STATE - KARNATAKA,Growing of citrus fruits,5,0,5,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,5,0,23.800393,86.419986
94753,STATE - KARNATAKA,Growing of pome fruits and stone fruits,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,6,0,12.570381,76.919997
94754,STATE - KARNATAKA,Growing of other tree and bush fruits and nuts,23158,15609,7549,22179,15056,7123,979,553,426,2939,1071,1868,2701,986,1715,238,85,153,26097,2.067691084911909,8.900373,76.569993
94755,STATE - KARNATAKA,Growing of oleaginous fruits,2723,1983,740,2388,1748,640,335,235,100,402,276,126,374,261,113,28,15,13,3125,2.6797297297297296,10.562573,72.636867
94756,STATE - KARNATAKA,"Growing of spices, aromatic, drug and pharmaceutical crops",210,106,104,178,100,78,32,6,26,44,14,30,32,8,24,12,6,6,254,1.0192307692307692,19.250232,73.160175
