,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
76708,STATE - MAHARASHTRA,"Crop and animal production, hunting and related service activities",11447,8460,2987,8572,6254,2318,2875,2206,669,2106,1138,968,1710,908,802,396,230,166,13553,2.832273183796451,14.750429,78.570026
76709,STATE - MAHARASHTRA,Growing of non-perennial crops,81,70,11,36,34,2,45,36,9,9,5,4,5,3,2,4,2,2,90,6.363636363636363,27.100399,93.616601
76710,STATE - MAHARASHTRA,"Growing of cereals (except rice), leguminous crops and oil seeds",46,42,4,18,18,0,28,24,4,4,2,2,0,0,0,4,2,2,50,10.5,26.749981,94.216667
76711,STATE - MAHARASHTRA,"Growing of vegetables and melons, roots and tubers",21,16,5,15,13,2,6,3,3,1,1,0,1,1,0,0,0,0,22,3.2,25.785414,87.479973
76712,STATE - MAHARASHTRA,Growing of sugar cane,0,0,0,0,0,0,0,0,0,4,2,2,4,2,2,0,0,0,4,0,30.719997,76.780006
76713,STATE - MAHARASHTRA,Growing of fibre crops,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,22.09042,82.159987
76714,STATE - MAHARASHTRA,Growing of other non-perennial crop,5,3,2,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0,5,1.5,20.266578,73.016618
76715,STATE - MAHARASHTRA,Growing of perennial crops,57,27,30,26,12,14,31,15,16,14,6,8,2,0,2,12,6,6,71,0.9,28.669993,77.230004
76716,STATE - MAHARASHTRA,Growing of grapes,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15.491997,73.818001
76717,STATE - MAHARASHTRA,Growing of tropical and subtropical fruits,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28.450006,77.019991
76718,STATE - MAHARASHTRA,Growing of other tree and bush fruits and nuts,11,0,11,8,0,8,3,0,3,2,0,2,2,0,2,0,0,0,13,0,31.100025,77.166597
76719,STATE - MAHARASHTRA,Growing of beverage crops,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,34.299959,74.466658
76720,STATE - MAHARASHTRA,"Growing of spices, aromatic, drug and pharmaceutical crops",15,6,9,3,3,0,12,3,9,12,6,6,0,0,0,12,6,6,27,0.6666666666666666,23.800393,86.419986
76721,STATE - MAHARASHTRA,Growing of other perennial crops,21,15,6,11,9,2,10,6,4,0,0,0,0,0,0,0,0,0,21,2.5,12.570381,76.919997
76722,STATE - MAHARASHTRA,Plant propagation,271,152,119,136,72,64,135,80,55,68,31,37,57,31,26,11,0,11,339,1.2773109243697478,8.900373,76.569993
76723,STATE - MAHARASHTRA,Plant propagation,271,152,119,136,72,64,135,80,55,68,31,37,57,31,26,11,0,11,339,1.2773109243697478,10.562573,72.636867
76724,STATE - MAHARASHTRA,Animal production,9780,7263,2517,7842,5717,2125,1938,1546,392,1810,995,815,1540,818,722,270,177,93,11590,2.8855780691299167,21.300391,76.130019
76725,STATE - MAHARASHTRA,Raising of cattle and buffaloes,5055,3665,1390,3948,2750,1198,1107,915,192,1069,602,467,921,489,432,148,113,35,6124,2.6366906474820144,19.250232,73.160175
76726,STATE - MAHARASHTRA,Raising of horses and other equines,30,24,6,6,6,0,24,18,6,12,12,0,6,6,0,6,6,0,42,4,24.799971,93.950017
76727,STATE - MAHARASHTRA,Raising and breeding of camels and camelids,23,14,9,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,23,1.5555555555555556,25.570492,91.880014
76728,STATE - MAHARASHTRA,Raising of sheep and goats,3422,2653,769,2933,2304,629,489,349,140,536,300,236,470,272,198,66,28,38,3958,3.4499349804941484,23.710399,92.720015
76729,STATE - MAHARASHTRA,Raising of swine/pigs,37,27,10,14,6,8,23,21,2,12,9,3,3,0,3,9,9,0,49,2.7,25.666998,94.11657
76730,STATE - MAHARASHTRA,Raising of poultry,1064,765,299,828,573,255,236,192,44,156,68,88,127,50,77,29,18,11,1220,2.5585284280936453,19.82043,85.900017
76731,STATE - MAHARASHTRA,Raising of other animals,149,115,34,90,64,26,59,51,8,25,4,21,13,1,12,12,3,9,174,3.3823529411764706,11.934994,79.83
76732,STATE - MAHARASHTRA,Support activities to agriculture and post-harvest crop activities,1248,940,308,524,411,113,724,529,195,204,100,104,105,55,50,99,45,54,1452,3.051948051948052,31.519974,75.980003
76733,STATE - MAHARASHTRA,Support activities for crop production,279,217,62,100,74,26,179,143,36,36,18,18,14,5,9,22,13,9,315,3.5,26.449999,74.639981
76734,STATE - MAHARASHTRA,Support activities for animal production,27,26,1,19,18,1,8,8,0,6,6,0,6,6,0,0,0,0,33,26,27.33333,88.616647
76735,STATE - MAHARASHTRA,Post-harvest crop activities,917,682,235,400,316,84,517,366,151,154,76,78,83,44,39,71,32,39,1071,2.902127659574468,12.920386,79.150042
76736,STATE - MAHARASHTRA,Seed processing for propagation,25,15,10,5,3,2,20,12,8,8,0,8,2,0,2,6,0,6,33,1.5,23.835404,91.279999
76737,STATE - MAHARASHTRA,"Hunting, trapping and related service activities",10,8,2,8,8,0,2,0,2,1,1,0,1,1,0,0,0,0,11,4,27.599981,78.050006
76738,STATE - MAHARASHTRA,"Hunting, trapping and related service activities",10,8,2,8,8,0,2,0,2,1,1,0,1,1,0,0,0,0,11,4,30.320409,78.050006
76739,STATE - MAHARASHTRA,Forestry and logging,3590,2973,617,1752,1420,332,1838,1553,285,540,302,238,358,189,169,182,113,69,4130,4.818476499189627,22.58039,88.329947
76740,STATE - MAHARASHTRA,Silviculture and other forestry activities,426,325,101,224,171,53,202,154,48,21,9,12,19,9,10,2,0,2,447,3.217821782178218,22.65423406060606,82.20022463636361
