,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
26838,STATE - MANIPUR,"Crop and animal production, hunting and related service activities",12240,8443,3797,6999,4692,2307,5241,3751,1490,5447,2804,2643,3968,2019,1949,1479,785,694,17687,2.223597577034501,14.750429,78.570026
26839,STATE - MANIPUR,Growing of non-perennial crops,6511,4268,2243,3724,2346,1378,2787,1922,865,3610,1818,1792,2732,1374,1358,878,444,434,10121,1.902808738296924,27.100399,93.616601
26840,STATE - MANIPUR,"Growing of cereals (except rice), leguminous crops and oil seeds",27,21,6,26,21,5,1,0,1,30,8,22,28,8,20,2,0,2,57,3.5,26.749981,94.216667
26841,STATE - MANIPUR,Growing of rice,5981,4028,1953,3415,2207,1208,2566,1821,745,2915,1675,1240,2352,1285,1067,563,390,173,8896,2.062467997951869,25.785414,87.479973
26842,STATE - MANIPUR,"Growing of vegetables and melons, roots and tubers",484,200,284,274,109,165,210,91,119,655,129,526,342,75,267,313,54,259,1139,0.704225352112676,30.719997,76.780006
26843,STATE - MANIPUR,Growing of sugar cane,14,14,0,8,8,0,6,6,0,8,4,4,8,4,4,0,0,0,22,14,22.09042,82.159987
26844,STATE - MANIPUR,Growing of other non-perennial crop,5,5,0,1,1,0,4,4,0,2,2,0,2,2,0,0,0,0,7,5,20.266578,73.016618
26845,STATE - MANIPUR,Growing of perennial crops,649,356,293,557,283,274,92,73,19,130,81,49,112,65,47,18,16,2,779,1.2150170648464165,28.669993,77.230004
26846,STATE - MANIPUR,Growing of tropical and subtropical fruits,252,94,158,246,88,158,6,6,0,31,22,9,24,16,8,7,6,1,283,0.5949367088607594,15.491997,73.818001
26847,STATE - MANIPUR,Growing of citrus fruits,28,22,6,25,20,5,3,2,1,3,1,2,3,1,2,0,0,0,31,3.6666666666666665,28.450006,77.019991
26848,STATE - MANIPUR,Growing of pome fruits and stone fruits,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,31.100025,77.166597
26849,STATE - MANIPUR,Growing of other tree and bush fruits and nuts,25,23,2,12,10,2,13,13,0,16,13,3,9,7,2,7,6,1,41,11.5,34.299959,74.466658
26850,STATE - MANIPUR,Growing of oleaginous fruits,59,37,22,27,13,14,32,24,8,2,2,0,2,2,0,0,0,0,61,1.681818181818182,23.800393,86.419986
26851,STATE - MANIPUR,Growing of beverage crops,149,61,88,124,44,80,25,17,8,27,15,12,23,11,12,4,4,0,176,0.6931818181818182,12.570381,76.919997
26852,STATE - MANIPUR,"Growing of spices, aromatic, drug and pharmaceutical crops",7,7,0,7,7,0,0,0,0,2,0,2,2,0,2,0,0,0,9,7,8.900373,76.569993
26853,STATE - MANIPUR,Growing of other perennial crops,123,108,15,110,97,13,13,11,2,49,28,21,49,28,21,0,0,0,172,7.2,10.562573,72.636867
26854,STATE - MANIPUR,Plant propagation,83,57,26,48,38,10,35,19,16,35,16,19,30,14,16,5,2,3,118,2.1923076923076925,21.300391,76.130019
26855,STATE - MANIPUR,Plant propagation,83,57,26,48,38,10,35,19,16,35,16,19,30,14,16,5,2,3,118,2.1923076923076925,19.250232,73.160175
26856,STATE - MANIPUR,Animal production,2997,2223,774,1649,1209,440,1348,1014,334,1212,628,584,752,382,370,460,246,214,4209,2.872093023255814,24.799971,93.950017
26857,STATE - MANIPUR,Raising of cattle and buffaloes,1057,832,225,651,515,136,406,317,89,318,190,128,218,129,89,100,61,39,1375,3.6977777777777776,25.570492,91.880014
26858,STATE - MANIPUR,Raising of horses and other equines,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,23.710399,92.720015
26859,STATE - MANIPUR,Raising of sheep and goats,28,22,6,28,22,6,0,0,0,19,16,3,17,15,2,2,1,1,47,3.6666666666666665,25.666998,94.11657
26860,STATE - MANIPUR,Raising of swine/pigs,370,203,167,188,88,100,182,115,67,182,111,71,116,82,34,66,29,37,552,1.215568862275449,19.82043,85.900017
26861,STATE - MANIPUR,Raising of poultry,1071,812,259,541,402,139,530,410,120,520,219,301,289,91,198,231,128,103,1591,3.135135135135135,11.934994,79.83
26862,STATE - MANIPUR,Raising of other animals,465,348,117,235,176,59,230,172,58,173,92,81,112,65,47,61,27,34,638,2.9743589743589745,31.519974,75.980003
26863,STATE - MANIPUR,Mixed farming,662,476,186,445,320,125,217,156,61,356,177,179,286,140,146,70,37,33,1018,2.5591397849462365,26.449999,74.639981
26864,STATE - MANIPUR,Mixed farming,662,476,186,445,320,125,217,156,61,356,177,179,286,140,146,70,37,33,1018,2.5591397849462365,27.33333,88.616647
