,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
31592,STATE - MIZORAM,"Crop and animal production, hunting and related service activities",6923,4018,2905,1172,754,418,5751,3264,2487,2260,659,1601,469,145,324,1791,514,1277,9183,1.383132530120482,14.750429,78.570026
31593,STATE - MIZORAM,Growing of non-perennial crops,2345,1389,956,355,199,156,1990,1190,800,401,180,221,106,46,60,295,134,161,2746,1.452928870292887,27.100399,93.616601
31594,STATE - MIZORAM,"Growing of cereals (except rice), leguminous crops and oil seeds",130,80,50,16,8,8,114,72,42,10,4,6,1,0,1,9,4,5,140,1.6,26.749981,94.216667
31595,STATE - MIZORAM,Growing of rice,1908,1154,754,283,160,123,1625,994,631,280,146,134,82,39,43,198,107,91,2188,1.530503978779841,25.785414,87.479973
31596,STATE - MIZORAM,"Growing of vegetables and melons, roots and tubers",282,139,143,51,28,23,231,111,120,97,30,67,20,7,13,77,23,54,379,0.972027972027972,30.719997,76.780006
31597,STATE - MIZORAM,Growing of sugar cane,3,2,1,2,1,1,1,1,0,5,0,5,3,0,3,2,0,2,8,2,22.09042,82.159987
31598,STATE - MIZORAM,Growing of fibre crops,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,5,4,20.266578,73.016618
31599,STATE - MIZORAM,Growing of other non-perennial crop,17,10,7,3,2,1,14,8,6,9,0,9,0,0,0,9,0,9,26,1.4285714285714286,28.669993,77.230004
31600,STATE - MIZORAM,Growing of perennial crops,303,217,86,93,76,17,210,141,69,132,61,71,77,31,46,55,30,25,435,2.5232558139534884,15.491997,73.818001
31601,STATE - MIZORAM,Growing of grapes,7,4,3,0,0,0,7,4,3,1,0,1,0,0,0,1,0,1,8,1.3333333333333333,28.450006,77.019991
31602,STATE - MIZORAM,Growing of tropical and subtropical fruits,34,22,12,5,4,1,29,18,11,13,10,3,4,3,1,9,7,2,47,1.8333333333333333,31.100025,77.166597
31603,STATE - MIZORAM,Growing of citrus fruits,23,19,4,11,11,0,12,8,4,9,7,2,5,3,2,4,4,0,32,4.75,34.299959,74.466658
31604,STATE - MIZORAM,Growing of other tree and bush fruits and nuts,49,34,15,23,18,5,26,16,10,6,2,4,2,0,2,4,2,2,55,2.2666666666666666,23.800393,86.419986
31605,STATE - MIZORAM,Growing of oleaginous fruits,10,8,2,1,1,0,9,7,2,0,0,0,0,0,0,0,0,0,10,4,12.570381,76.919997
31606,STATE - MIZORAM,Growing of beverage crops,121,82,39,34,26,8,87,56,31,75,33,42,58,22,36,17,11,6,196,2.102564102564102,8.900373,76.569993
31607,STATE - MIZORAM,"Growing of spices, aromatic, drug and pharmaceutical crops",6,4,2,2,1,1,4,3,1,6,2,4,3,2,1,3,0,3,12,2,10.562573,72.636867
31608,STATE - MIZORAM,Growing of other perennial crops,53,44,9,17,15,2,36,29,7,22,7,15,5,1,4,17,6,11,75,4.888888888888889,21.300391,76.130019
31609,STATE - MIZORAM,Plant propagation,43,29,14,11,8,3,32,21,11,14,5,9,3,1,2,11,4,7,57,2.071428571428572,19.250232,73.160175
