,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
179500,STATE - ODISHA,Growing of non-perennial crops,253,191,62,165,107,58,88,84,4,323,144,179,266,117,149,57,27,30,576,3.0806451612903225,27.100399,93.616601
179501,STATE - ODISHA,"Growing of cereals (except rice), leguminous crops and oil seeds",33,31,2,21,19,2,12,12,0,57,32,25,45,26,19,12,6,6,90,15.5,26.749981,94.216667
179502,STATE - ODISHA,Growing of rice,40,28,12,34,22,12,6,6,0,37,26,11,32,21,11,5,5,0,77,2.333333333333333,25.785414,87.479973
179503,STATE - ODISHA,"Growing of vegetables and melons, roots and tubers",136,108,28,76,50,26,60,58,2,143,66,77,133,60,73,10,6,4,279,3.857142857142857,30.719997,76.780006
179504,STATE - ODISHA,Growing of sugar cane,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,4,0,22.09042,82.159987
179505,STATE - ODISHA,Growing of tobacco,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20.266578,73.016618
179506,STATE - ODISHA,Growing of fibre crops,26,12,14,18,4,14,8,8,0,67,16,51,39,6,33,28,10,18,93,0.8571428571428571,28.669993,77.230004
179507,STATE - ODISHA,Growing of other non-perennial crop,14,12,2,12,12,0,2,0,2,15,4,11,13,4,9,2,0,2,29,6,15.491997,73.818001
179508,STATE - ODISHA,Growing of perennial crops,222,144,78,178,120,58,44,24,20,250,128,122,240,126,114,10,2,8,472,1.8461538461538465,28.450006,77.019991
179509,STATE - ODISHA,Growing of tropical and subtropical fruits,16,10,6,16,10,6,0,0,0,16,10,6,14,8,6,2,2,0,32,1.6666666666666667,31.100025,77.166597
179510,STATE - ODISHA,Growing of citrus fruits,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,34.299959,74.466658
179511,STATE - ODISHA,Growing of pome fruits and stone fruits,2,2,0,2,2,0,0,0,0,4,4,0,4,4,0,0,0,0,6,2,23.800393,86.419986
179512,STATE - ODISHA,Growing of other tree and bush fruits and nuts,105,65,40,79,57,22,26,8,18,156,77,79,148,77,71,8,0,8,261,1.625,12.570381,76.919997
179513,STATE - ODISHA,Growing of oleaginous fruits,14,6,8,14,6,8,0,0,0,10,6,4,10,6,4,0,0,0,24,0.75,8.900373,76.569993
179514,STATE - ODISHA,Growing of beverage crops,43,25,18,35,19,16,8,6,2,26,10,16,26,10,16,0,0,0,69,1.3888888888888888,10.562573,72.636867
179515,STATE - ODISHA,"Growing of spices, aromatic, drug and pharmaceutical crops",12,6,6,6,0,6,6,6,0,4,2,2,4,2,2,0,0,0,16,1,21.300391,76.130019
179516,STATE - ODISHA,Growing of other perennial crops,28,28,0,24,24,0,4,4,0,34,19,15,34,19,15,0,0,0,62,28,19.250232,73.160175
179517,STATE - ODISHA,Plant propagation,285,209,76,245,181,64,40,28,12,166,102,64,156,96,60,10,6,4,451,2.75,24.799971,93.950017
179518,STATE - ODISHA,Plant propagation,285,209,76,245,181,64,40,28,12,166,102,64,156,96,60,10,6,4,451,2.75,25.570492,91.880014
179519,STATE - ODISHA,Animal production,8304,5994,2310,7915,5713,2202,389,281,108,8533,5222,3311,8386,5119,3267,147,103,44,16837,2.5948051948051947,23.710399,92.720015
179520,STATE - ODISHA,Raising of cattle and buffaloes,4649,3605,1044,4446,3444,1002,203,161,42,5552,3739,1813,5456,3669,1787,96,70,26,10201,3.453065134099617,25.666998,94.11657
179521,STATE - ODISHA,Raising and breeding of camels and camelids,4,2,2,4,2,2,0,0,0,2,0,2,2,0,2,0,0,0,6,1,19.82043,85.900017
179522,STATE - ODISHA,Raising of sheep and goats,2586,1568,1018,2513,1537,976,73,31,42,2250,1095,1155,2213,1074,1139,37,21,16,4836,1.5402750491159136,11.934994,79.83
179523,STATE - ODISHA,Raising of swine/pigs,34,20,14,22,16,6,12,4,8,24,14,10,22,12,10,2,2,0,58,1.4285714285714286,31.519974,75.980003
179524,STATE - ODISHA,Raising of poultry,551,424,127,485,366,119,66,58,8,275,111,164,269,105,164,6,6,0,826,3.338582677165354,26.449999,74.639981
179525,STATE - ODISHA,Raising of other animals,480,375,105,445,348,97,35,27,8,430,263,167,424,259,165,6,4,2,910,3.571428571428572,27.33333,88.616647
179526,STATE - ODISHA,Mixed farming,54,42,12,50,40,10,4,2,2,6,6,0,6,6,0,0,0,0,60,3.5,12.920386,79.150042
179527,STATE - ODISHA,Mixed farming,54,42,12,50,40,10,4,2,2,6,6,0,6,6,0,0,0,0,60,3.5,23.835404,91.279999
179528,STATE - ODISHA,Support activities to agriculture and post-harvest crop activities,9762,7257,2505,7862,5779,2083,1900,1478,422,14115,6560,7555,13336,6125,7211,779,435,344,23877,2.897005988023952,27.599981,78.050006
