,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
136112,STATE - PUDUCHERRY,Total,39807,28649,11158,14996,10914,4082,24811,17735,7076,4639,2868,1771,2212,1354,858,2427,1514,913,44446,2.5675748341996774,11.667026,92.735983
136113,STATE - PUDUCHERRY,"Crop and animal production, hunting and related service activities",630,445,185,356,244,112,274,201,73,171,109,62,144,86,58,27,23,4,801,2.4054054054054053,14.750429,78.570026
136114,STATE - PUDUCHERRY,Growing of perennial crops,9,9,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,9,9,27.100399,93.616601
136115,STATE - PUDUCHERRY,Growing of oleaginous fruits,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,26.749981,94.216667
136116,STATE - PUDUCHERRY,Growing of beverage crops,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,25.785414,87.479973
136117,STATE - PUDUCHERRY,Animal production,137,47,90,90,24,66,47,23,24,28,14,14,28,14,14,0,0,0,165,0.5222222222222223,30.719997,76.780006
136118,STATE - PUDUCHERRY,Raising of cattle and buffaloes,107,41,66,60,18,42,47,23,24,16,8,8,16,8,8,0,0,0,123,0.6212121212121212,22.09042,82.159987
136119,STATE - PUDUCHERRY,Raising of sheep and goats,22,0,22,22,0,22,0,0,0,12,6,6,12,6,6,0,0,0,34,0,20.266578,73.016618
136120,STATE - PUDUCHERRY,Raising of poultry,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,28.669993,77.230004
136121,STATE - PUDUCHERRY,Raising of other animals,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15.491997,73.818001
136122,STATE - PUDUCHERRY,Support activities to agriculture and post-harvest crop activities,484,389,95,260,214,46,224,175,49,137,89,48,116,72,44,21,17,4,621,4.094736842105263,28.450006,77.019991
136123,STATE - PUDUCHERRY,Support activities for crop production,387,297,90,210,164,46,177,133,44,129,85,44,112,70,42,17,15,2,516,3.3,31.100025,77.166597
136124,STATE - PUDUCHERRY,Post-harvest crop activities,97,92,5,50,50,0,47,42,5,8,4,4,4,2,2,4,2,2,105,18.4,34.299959,74.466658
136125,STATE - PUDUCHERRY,"Hunting, trapping and related service activities",0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,6,0,23.800393,86.419986
136126,STATE - PUDUCHERRY,"Hunting, trapping and related service activities",0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,6,0,12.570381,76.919997
136127,STATE - PUDUCHERRY,Forestry and logging,32,30,2,16,14,2,16,16,0,9,9,0,6,6,0,3,3,0,41,15,8.900373,76.569993
136128,STATE - PUDUCHERRY,Logging,29,27,2,16,14,2,13,13,0,3,3,0,0,0,0,3,3,0,32,13.5,10.562573,72.636867
136129,STATE - PUDUCHERRY,Logging,29,27,2,16,14,2,13,13,0,3,3,0,0,0,0,3,3,0,32,13.5,21.300391,76.130019
136130,STATE - PUDUCHERRY,Support services to forestry,3,3,0,0,0,0,3,3,0,6,6,0,6,6,0,0,0,0,9,3,19.250232,73.160175
136131,STATE - PUDUCHERRY,Support services to forestry,3,3,0,0,0,0,3,3,0,6,6,0,6,6,0,0,0,0,9,3,24.799971,93.950017
136132,STATE - PUDUCHERRY,Fishing and aquaculture,30,30,0,12,12,0,18,18,0,9,7,2,2,2,0,7,5,2,39,30,25.570492,91.880014
136133,STATE - PUDUCHERRY,Fishing,30,30,0,12,12,0,18,18,0,5,5,0,2,2,0,3,3,0,35,30,23.710399,92.720015
136134,STATE - PUDUCHERRY,Marine fishing,30,30,0,12,12,0,18,18,0,5,5,0,2,2,0,3,3,0,35,30,25.666998,94.11657
136135,STATE - PUDUCHERRY,Aquaculture,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,4,2,2,4,0,19.82043,85.900017
136136,STATE - PUDUCHERRY,Marine aquaculture,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,4,2,2,4,0,11.934994,79.83
136137,STATE - PUDUCHERRY,Mining of coal and lignite,18,12,6,12,6,6,6,6,0,0,0,0,0,0,0,0,0,0,18,2,31.519974,75.980003
136138,STATE - PUDUCHERRY,Mining of hard coal,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,26.449999,74.639981
136139,STATE - PUDUCHERRY,Mining of hard coal,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,27.33333,88.616647
136140,STATE - PUDUCHERRY,Mining of lignite,15,9,6,12,6,6,3,3,0,0,0,0,0,0,0,0,0,0,15,1.5,12.920386,79.150042
136141,STATE - PUDUCHERRY,Mining of lignite,15,9,6,12,6,6,3,3,0,0,0,0,0,0,0,0,0,0,15,1.5,23.835404,91.279999
136142,STATE - PUDUCHERRY,Extraction of crude petroleum and natural gas,51,45,6,0,0,0,51,45,6,3,3,0,0,0,0,3,3,0,54,7.5,27.599981,78.050006
136143,STATE - PUDUCHERRY,Extraction of crude petroleum,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,30.320409,78.050006
136144,STATE - PUDUCHERRY,Extraction of crude petroleum,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.58039,88.329947
136145,STATE - PUDUCHERRY,Extraction of natural gas,45,39,6,0,0,0,45,39,6,3,3,0,0,0,0,3,3,0,48,6.5,22.65423406060606,82.20022463636361
136146,STATE - PUDUCHERRY,Extraction of natural gas,45,39,6,0,0,0,45,39,6,3,3,0,0,0,0,3,3,0,48,6.5,22.65423406060606,82.20022463636361
136147,STATE - PUDUCHERRY,Other mining and quarrying,24,22,2,8,6,2,16,16,0,2,2,0,0,0,0,2,2,0,26,11,22.65423406060606,82.20022463636361
136148,STATE - PUDUCHERRY,"Quarrying of stone, sand and clay",18,16,2,2,0,2,16,16,0,2,2,0,0,0,0,2,2,0,20,8,22.65423406060606,82.20022463636361
136149,STATE - PUDUCHERRY,"Quarrying of stone, sand and clay",18,16,2,2,0,2,16,16,0,2,2,0,0,0,0,2,2,0,20,8,22.65423406060606,82.20022463636361
136150,STATE - PUDUCHERRY,Mining and quarrying n.e.c.,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
136151,STATE - PUDUCHERRY,Mining of chemical and fertilizer minerals,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
136152,STATE - PUDUCHERRY,Mining support service activities,28,22,6,6,6,0,22,16,6,0,0,0,0,0,0,0,0,0,28,3.6666666666666665,22.65423406060606,82.20022463636361
136153,STATE - PUDUCHERRY,Support activities for petroleum and natural gas mining,28,22,6,6,6,0,22,16,6,0,0,0,0,0,0,0,0,0,28,3.6666666666666665,22.65423406060606,82.20022463636361
136154,STATE - PUDUCHERRY,Support activities for petroleum and natural gas mining,28,22,6,6,6,0,22,16,6,0,0,0,0,0,0,0,0,0,28,3.6666666666666665,22.65423406060606,82.20022463636361
136155,STATE - PUDUCHERRY,Manufacture of food products,491,256,235,320,156,164,171,100,71,71,23,48,52,18,34,19,5,14,562,1.0893617021276596,22.65423406060606,82.20022463636361
136156,STATE - PUDUCHERRY,Processing and preserving of meat,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
136157,STATE - PUDUCHERRY,Processing and preserving of meat,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
136158,STATE - PUDUCHERRY,"Processing and preserving of fish, crustaceans and molluscs",6,0,6,6,0,6,0,0,0,2,0,2,2,0,2,0,0,0,8,0,22.65423406060606,82.20022463636361
136159,STATE - PUDUCHERRY,"Processing and preserving of fish, crustaceans and molluscs and",6,0,6,6,0,6,0,0,0,2,0,2,2,0,2,0,0,0,8,0,22.65423406060606,82.20022463636361
136160,STATE - PUDUCHERRY,Processing and preserving of fruit and vegetables,23,23,0,20,20,0,3,3,0,0,0,0,0,0,0,0,0,0,23,23,22.65423406060606,82.20022463636361
136161,STATE - PUDUCHERRY,Processing and preserving of fruit and vegetables,23,23,0,20,20,0,3,3,0,0,0,0,0,0,0,0,0,0,23,23,22.65423406060606,82.20022463636361
136162,STATE - PUDUCHERRY,Manufacture of vegetable and animal oils and fats,37,12,25,32,12,20,5,0,5,0,0,0,0,0,0,0,0,0,37,0.48,22.65423406060606,82.20022463636361
136163,STATE - PUDUCHERRY,Manufacture of vegetable and animal oils and fats,37,12,25,32,12,20,5,0,5,0,0,0,0,0,0,0,0,0,37,0.48,22.65423406060606,82.20022463636361
