,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
0,STATE - RAJASTHAN,Growing of non-perennial crops,12876,10547,2329,5644,4328,1316,7232,6219,1013,9562,4051,5511,8147,3295,4852,1415,756,659,22438,4.528553027050236,27.100399,93.616601
1,STATE - RAJASTHAN,"Growing of cereals (except rice), leguminous crops and oil seeds",12061,9911,2150,5195,3987,1208,6866,5924,942,9085,3883,5202,7777,3161,4616,1308,722,586,21146,4.609767441860465,26.749981,94.216667
2,STATE - RAJASTHAN,Growing of rice,79,71,8,48,42,6,31,29,2,13,4,9,11,2,9,2,2,0,92,8.875,25.785414,87.479973
3,STATE - RAJASTHAN,"Growing of vegetables and melons, roots and tubers",576,440,136,304,221,83,272,219,53,319,98,221,263,82,181,56,16,40,895,3.235294117647059,30.719997,76.780006
4,STATE - RAJASTHAN,Growing of sugar cane,11,11,0,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,11,11,22.09042,82.159987
5,STATE - RAJASTHAN,Growing of fibre crops,53,49,4,41,37,4,12,12,0,76,41,35,66,33,33,10,8,2,129,12.25,20.266578,73.016618
6,STATE - RAJASTHAN,Growing of other non-perennial crop,96,65,31,50,35,15,46,30,16,69,25,44,30,17,13,39,8,31,165,2.096774193548387,28.669993,77.230004
7,STATE - RAJASTHAN,Growing of perennial crops,1191,984,207,571,448,123,620,536,84,668,280,388,556,232,324,112,48,64,1859,4.753623188405797,15.491997,73.818001
8,STATE - RAJASTHAN,Growing of tropical and subtropical fruits,13,13,0,1,1,0,12,12,0,12,12,0,12,12,0,0,0,0,25,13,28.450006,77.019991
9,STATE - RAJASTHAN,Growing of citrus fruits,25,23,2,21,19,2,4,4,0,6,6,0,6,6,0,0,0,0,31,11.5,31.100025,77.166597
