,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
118935,STATE - TAMIL NADU,Growing of non-perennial crops,770,503,267,406,269,137,364,234,130,257,87,170,126,48,78,131,39,92,1027,1.8838951310861425,27.100399,93.616601
118936,STATE - TAMIL NADU,"Growing of cereals (except rice), leguminous crops and oil seeds",88,77,11,39,33,6,49,44,5,6,3,3,3,3,0,3,0,3,94,7,26.749981,94.216667
118937,STATE - TAMIL NADU,Growing of rice,12,6,6,9,3,6,3,3,0,48,24,24,0,0,0,48,24,24,60,1,25.785414,87.479973
118938,STATE - TAMIL NADU,"Growing of vegetables and melons, roots and tubers",314,223,91,133,107,26,181,116,65,22,15,7,8,6,2,14,9,5,336,2.4505494505494507,30.719997,76.780006
118939,STATE - TAMIL NADU,Growing of sugar cane,173,119,54,137,93,44,36,26,10,37,29,8,31,23,8,6,6,0,210,2.203703703703704,22.09042,82.159987
118940,STATE - TAMIL NADU,Growing of fibre crops,35,27,8,26,18,8,9,9,0,14,0,14,12,0,12,2,0,2,49,3.375,20.266578,73.016618
118941,STATE - TAMIL NADU,Growing of other non-perennial crop,148,51,97,62,15,47,86,36,50,130,16,114,72,16,56,58,0,58,278,0.5257731958762887,28.669993,77.230004
118942,STATE - TAMIL NADU,Growing of grapes,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,28.450006,77.019991
118943,STATE - TAMIL NADU,Growing of tropical and subtropical fruits,68,52,16,46,38,8,22,14,8,17,11,6,17,11,6,0,0,0,85,3.25,31.100025,77.166597
118944,STATE - TAMIL NADU,Growing of pome fruits and stone fruits,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,34.299959,74.466658
