,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
144706,STATE - UTTAR PRADESH,"Crop and animal production, hunting and related service activities",2218,1751,467,1982,1535,447,236,216,20,2752,1645,1107,2639,1556,1083,113,89,24,4970,3.7494646680942174,14.750429,78.570026
144707,STATE - UTTAR PRADESH,Growing of non-perennial crops,541,465,76,471,399,72,70,66,4,564,396,168,555,387,168,9,9,0,1105,6.118421052631579,27.100399,93.616601
144708,STATE - UTTAR PRADESH,"Growing of cereals (except rice), leguminous crops and oil seeds",522,448,74,456,386,70,66,62,4,547,387,160,538,378,160,9,9,0,1069,6.054054054054054,26.749981,94.216667
144709,STATE - UTTAR PRADESH,Growing of rice,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25.785414,87.479973
144710,STATE - UTTAR PRADESH,"Growing of vegetables and melons, roots and tubers",12,10,2,12,10,2,0,0,0,16,9,7,16,9,7,0,0,0,28,5,30.719997,76.780006
144711,STATE - UTTAR PRADESH,Growing of tobacco,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,22.09042,82.159987
144712,STATE - UTTAR PRADESH,Growing of fibre crops,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,20.266578,73.016618
144713,STATE - UTTAR PRADESH,Growing of other non-perennial crop,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,28.669993,77.230004
144714,STATE - UTTAR PRADESH,Growing of perennial crops,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,15.491997,73.818001
144715,STATE - UTTAR PRADESH,Growing of beverage crops,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28.450006,77.019991
144716,STATE - UTTAR PRADESH,"Growing of spices, aromatic, drug and pharmaceutical crops",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,31.100025,77.166597
144717,STATE - UTTAR PRADESH,Growing of other perennial crops,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,34.299959,74.466658
144718,STATE - UTTAR PRADESH,Plant propagation,4,4,0,2,2,0,2,2,0,5,3,2,5,3,2,0,0,0,9,4,23.800393,86.419986
144719,STATE - UTTAR PRADESH,Plant propagation,4,4,0,2,2,0,2,2,0,5,3,2,5,3,2,0,0,0,9,4,12.570381,76.919997
