,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
35560,STATE - WEST BENGAL,Growing of non-perennial crops,40461,36655,3806,25015,22419,2596,15446,14236,1210,19833,13894,5939,16156,10863,5293,3677,3031,646,60294,9.630846032580136,27.100399,93.616601
35561,STATE - WEST BENGAL,"Growing of cereals (except rice), leguminous crops and oil seeds",10571,9549,1022,6500,5781,719,4071,3768,303,5133,3393,1740,4238,2713,1525,895,680,215,15704,9.34344422700587,26.749981,94.216667
35562,STATE - WEST BENGAL,Growing of rice,26974,24571,2403,16853,15210,1643,10121,9361,760,13629,9767,3862,11078,7621,3457,2551,2146,405,40603,10.225135247607158,25.785414,87.479973
35563,STATE - WEST BENGAL,"Growing of vegetables and melons, roots and tubers",2145,1867,278,1204,1029,175,941,838,103,889,610,279,694,439,255,195,171,24,3034,6.715827338129497,30.719997,76.780006
35564,STATE - WEST BENGAL,Growing of sugar cane,15,15,0,3,3,0,12,12,0,5,5,0,5,5,0,0,0,0,20,15,22.09042,82.159987
35565,STATE - WEST BENGAL,Growing of tobacco,34,34,0,26,26,0,8,8,0,0,0,0,0,0,0,0,0,0,34,34,20.266578,73.016618
35566,STATE - WEST BENGAL,Growing of fibre crops,236,193,43,136,102,34,100,91,9,53,42,11,48,37,11,5,5,0,289,4.488372093023256,28.669993,77.230004
35567,STATE - WEST BENGAL,Growing of other non-perennial crop,486,426,60,293,268,25,193,158,35,124,77,47,93,48,45,31,29,2,610,7.1,15.491997,73.818001
35568,STATE - WEST BENGAL,Growing of tropical and subtropical fruits,784,728,56,769,713,56,15,15,0,75,60,15,70,55,15,5,5,0,859,13,31.100025,77.166597
35569,STATE - WEST BENGAL,Growing of citrus fruits,23,23,0,9,9,0,14,14,0,18,18,0,18,18,0,0,0,0,41,23,34.299959,74.466658
35570,STATE - WEST BENGAL,Growing of pome fruits and stone fruits,11,11,0,2,2,0,9,9,0,0,0,0,0,0,0,0,0,0,11,11,23.800393,86.419986
35571,STATE - WEST BENGAL,Growing of other tree and bush fruits and nuts,793,593,200,612,425,187,181,168,13,401,172,229,329,137,192,72,35,37,1194,2.965,12.570381,76.919997
35572,STATE - WEST BENGAL,Growing of oleaginous fruits,133,130,3,98,95,3,35,35,0,32,32,0,29,29,0,3,3,0,165,43.333333333333336,8.900373,76.569993
35573,STATE - WEST BENGAL,"Growing of spices, aromatic, drug and pharmaceutical crops",2683,1829,854,2615,1774,841,68,55,13,121,74,47,119,72,47,2,2,0,2804,2.141686182669789,21.300391,76.130019
35574,STATE - WEST BENGAL,Growing of other perennial crops,1321,1171,150,903,781,122,418,390,28,443,297,146,355,231,124,88,66,22,1764,7.806666666666667,19.250232,73.160175
35575,STATE - WEST BENGAL,Plant propagation,8597,7748,849,5683,5048,635,2914,2700,214,3691,2558,1133,3102,2151,951,589,407,182,12288,9.12603062426384,24.799971,93.950017
35576,STATE - WEST BENGAL,Plant propagation,8597,7748,849,5683,5048,635,2914,2700,214,3691,2558,1133,3102,2151,951,589,407,182,12288,9.12603062426384,25.570492,91.880014
35577,STATE - WEST BENGAL,Raising of horses and other equines,26,15,11,21,10,11,5,5,0,9,6,3,3,0,3,6,6,0,35,1.3636363636363635,19.82043,85.900017
35578,STATE - WEST BENGAL,Raising and breeding of camels and camelids,28,13,15,23,11,12,5,2,3,31,11,20,31,11,20,0,0,0,59,0.8666666666666667,11.934994,79.83
35579,STATE - WEST BENGAL,Raising of sheep and goats,3590,1472,2118,3094,1113,1981,496,359,137,6531,1272,5259,6343,1205,5138,188,67,121,10121,0.6949952785646837,31.519974,75.980003
35580,STATE - WEST BENGAL,Raising of swine/pigs,296,238,58,192,142,50,104,96,8,277,79,198,253,71,182,24,8,16,573,4.103448275862069,26.449999,74.639981
35581,STATE - WEST BENGAL,Raising of poultry,10160,8029,2131,7834,5891,1943,2326,2138,188,7637,1374,6263,7298,1207,6091,339,167,172,17797,3.767714687939934,27.33333,88.616647
35582,STATE - WEST BENGAL,Raising of other animals,4660,3821,839,3774,3060,714,886,761,125,3695,1646,2049,3469,1496,1973,226,150,76,8355,4.554231227651966,12.920386,79.150042
35583,STATE - WEST BENGAL,Mixed farming,445,306,139,346,228,118,99,78,21,473,111,362,413,101,312,60,10,50,918,2.2014388489208634,23.835404,91.279999
